zip_code,lat,lng,housing_score,tax_score,healthcare_score,overall_score,borough,transit_score,social_score,grocery_score,data_quality,rental_count
11572,40.63231,-73.63686,87,53.71900826,36.68855373,66,Queens,0,0,0,Housing Only,0
11575,40.68044,-73.58525,90,95.07014346,30.42954955,76,Queens,0,0,0,Housing Only,0
11576,40.79791,-73.64711,72,21.56492156,71.56312564,59,Queens,0,0,0,Housing Only,0
11577,40.78288,-73.6391,78,39.000819,33.02954955,57,Queens,0,0,0,Housing Only,0
11579,40.84406,-73.64426,83,44.37346437,33.12954955,60,Queens,0,0,0,Housing Only,0
11580,40.67491,-73.70374,88,83.62266887,32.00954955,73,Queens,0,0,0,Housing Only,0
11581,40.65153,-73.71653,87,65.44401544,32.42954955,68,Queens,0,0,0,Housing Only,0
11590,40.75541,-73.57463,87,79.2536855,31.20954955,71,Queens,0,0,0,Housing Only,0
11596,40.75968,-73.6422,84,60.4989605,32.92954955,65,Queens,0,0,0,Housing Only,0
11598,40.63109,-73.71188,78,56.24078624,33.02954955,61,Queens,0,0,0,Housing Only,0
11691,40.60152,-73.76173,89,94.62711374,21.59273508,73,Queens,0,0,0,Housing Only,0
11692,40.59373,-73.79201,90,91.04013104,30.46954955,75,Queens,0,0,0,Housing Only,0
11693,40.59649,-73.81663,92,83.08547782,31.42954955,75,Queens,0,0,0,Housing Only,0
11694,40.57532,-73.85099,86,75.60687961,32.12954955,70,Queens,0,0,0,Housing Only,0
11697,40.55749,-73.91361,92,71.99017199,33.06954955,72,Queens,0,0,0,Housing Only,0
